Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests
Bermuda,North America,62254.0,157,9.0,144.0,4.0,26352.0
Canada,North America,37775022.0,118561,8966.0,103106.0,6489.0,4319172.0
Caribbean Netherlands,North America,26247.0,13,3792.590425531915,7.0,6.0,424.0
Cayman Islands,North America,65798.0,203,1.0,202.0,0.0,31108.0
Costa Rica,North America,5098730.0,21070,200.0,7038.0,13832.0,96110.0
Cuba,North America,11325899.0,2775,88.0,2409.0,278.0,285471.0
Curaçao,North America,164161.0,31,1.0,28.0,2.0,1080.0
Dominica,North America,72004.0,18,3792.590425531915,18.0,0.0,1005.0
Dominican Republic,North America,10858648.0,76536,1246.0,40539.0,34751.0,281926.0
El Salvador,North America,6489514.0,19126,513.0,9236.0,9377.0,251271.0
Greenland,North America,56780.0,14,3792.590425531915,14.0,0.0,5977.0
Grenada,North America,112576.0,24,3792.590425531915,23.0,1.0,6252.0
Guadeloupe,North America,400131.0,279,14.0,179.0,86.0,18476.0
Guatemala,North America,17946899.0,54339,2119.0,42070.0,10150.0,172712.0
Haiti,North America,11416103.0,7544,171.0,4832.0,2541.0,18443.0
Honduras,North America,9919704.0,45098,1423.0,6116.0,37559.0,109292.0
Jamaica,North America,2962478.0,958,12.0,745.0,201.0,41840.0
Martinique,North America,375235.0,276,15.0,98.0,163.0,12227.0
Mexico,North America,129066160.0,462690,50517.0,308848.0,103325.0,1056915.0
Montserrat,North America,4992.0,13,1.0,10.0,2.0,61.0
Nicaragua,North America,6632263.0,3902,123.0,2913.0,866.0,135702.0
Panama,North America,4321282.0,71418,1574.0,45658.0,24186.0,240995.0
Saint Kitts and Nevis,North America,53237.0,17,3792.590425531915,16.0,1.0,1146.0
Saint Lucia,North America,183712.0,25,3792.590425531915,24.0,1.0,3895.0
Saint Martin,North America,38729.0,53,3.0,41.0,9.0,1183.0
Sint Maarten,North America,42924.0,160,16.0,64.0,80.0,1115.0
St. Vincent Grenadines,North America,110976.0,56,3792.590425531915,46.0,10.0,2447.0
Trinidad and Tobago,North America,1399950.0,210,8.0,135.0,67.0,9559.0
Turks and Caicos,North America,38768.0,129,2.0,39.0,88.0,1252.0
USA,North America,331198130.0,5032179,162804.0,2576668.0,2292707.0,63139605.0
